datetime,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER
5/20/03,2.806199538,2.211545751,,0,73
5/21/03,2.772219321,2.12093184,,0.508,71
5/22/03,2.766555952,2.055803092,,0,75
5/23/03,2.758060898,2.041644669,,0,80
5/24/03,2.749565844,2.041644669,,0,83
5/25/03,2.746734159,2.041644669,,0,80.5
5/26/03,2.749565844,2.041644669,,19.05,76
5/27/03,2.749565844,2.041644669,,0,77
5/28/03,2.743902474,2.041644669,,0,75
5/29/03,2.743902474,2.041644669,,0,78.5
5/30/03,2.74107079,2.044476353,,0,87
5/31/03,2.74107079,2.092614993,,0,85.5
6/1/03,2.738239105,2.044476353,,0,83.5
6/2/03,2.74107079,2.041644669,,0,82.5
6/3/03,2.760892583,2.041644669,,0,82.5
6/4/03,2.772219321,2.041644669,,48.768,79
6/5/03,2.78354606,2.041644669,,21.59,75
6/6/03,2.775051006,2.041644669,,2.54,77
6/7/03,2.760892583,2.041644669,,0,77.5
6/8/03,2.752397528,2.041644669,,0,78.5
6/9/03,2.749565844,2.041644669,,0,81
6/10/03,2.749565844,2.041644669,,0.254,80
6/11/03,2.743902474,2.041644669,,0,86
6/12/03,2.738239105,2.041644669,,0.508,83
6/13/03,2.74107079,2.041644669,,40.386,80
6/14/03,2.763724267,2.653288564,,0,78
6/15/03,2.749565844,2.426753788,,1.524,77
6/16/03,2.738239105,2.316318085,,0,80
6/17/03,2.729744051,2.22287249,,0,80.5
6/18/03,2.721248997,2.22287249,,0,80.5
6/19/03,2.718417312,2.22287249,,0,82
6/20/03,2.658951933,2.140753633,,0,83
6/21/03,2.673110357,2.041644669,,0,85
6/22/03,2.675942042,2.041644669,,0,86.5
6/23/03,2.670278672,2.041644669,,0,88
6/24/03,2.661783618,2.041644669,,0,88
6/25/03,2.658951933,2.041644669,,0,88
6/26/03,2.64479351,2.041644669,,0,86
6/27/03,2.633466771,2.041644669,,0,82.5
6/28/03,2.627803402,2.041644669,,0,85.5
6/29/03,2.619308348,2.041644669,,0,85
6/30/03,2.607981609,2.041644669,,0,83
7/1/03,2.599486555,2.041644669,,0,85.5
7/2/03,2.593823185,2.041644669,,0,84.5
7/3/03,2.576833077,2.041644669,,0,85.5
7/4/03,2.568338023,2.061466462,,7.112,81
7/5/03,2.562674654,2.242694282,,1.524,76
7/6/03,2.557011284,2.860001547,,5.842,83
7/7/03,2.545684545,2.916635241,,2.032,82.5
7/8/03,2.537189491,2.860001547,,11.43,82.5
7/9/03,2.545684545,3.228120558,,0,82.5
7/10/03,2.537189491,3.284754252,,0,84.5
7/11/03,2.537189491,3.256437405,,0,88
7/12/03,2.534357807,2.944952088,,0,85.5
7/13/03,2.528694437,2.63913014,,0,85.5
7/14/03,2.525862752,2.460734004,,0,86
7/15/03,2.523031068,2.330476508,,0,82
7/16/03,2.523031068,2.237030913,,8.128,81
7/17/03,2.520199383,2.271011129,,0,84
7/18/03,2.511704329,2.197387327,,0,85
7/19/03,2.508872644,2.061466462,,0,86.5
7/20/03,2.503209275,2.041644669,,0,85.5
7/21/03,2.503209275,2.041644669,,0,86.5
7/22/03,2.491882536,2.041644669,,0,87.5
7/23/03,2.520199383,2.041644669,,0,82.5
7/24/03,2.511704329,2.041644669,,0,86.5
7/25/03,2.503209275,2.021822876,,0,85.5
7/26/03,2.497545905,1.883070326,,0,87.5
7/27/03,2.491882536,1.871743587,,0,87
7/28/03,2.483387482,1.871743587,,0,84.5
7/29/03,2.480555797,1.874575271,,0,86
7/30/03,2.472060743,1.871743587,,0,88.5
7/31/03,2.460734004,1.871743587,,0,88
8/1/03,2.449407266,1.854753479,,0,88.5
8/2/03,2.446575581,1.764139568,,0,88.5
8/3/03,2.438080527,1.713169244,,0,87.5
8/4/03,2.432417157,1.713169244,,0,88
8/5/03,2.423922103,1.713169244,,0,88
8/6/03,2.412595364,1.713169244,,0,89
8/7/03,2.406931995,1.713169244,,0,92.5
8/8/03,2.398436941,1.713169244,,1.016,93.5
8/9/03,2.384278517,1.713169244,,0,86
