Date,SWE_Ob,SWE_Yenise,SWE_Lena,SWE_Kolyma,SWE_Yukon,SWE_Mackenzie,SM_Ob,SM_Yenise,SM_Lena,SM_Kolyma,SM_Yukon,SM_Mackenzie,SF_Ob,SF_Yenise,SF_Lena,SF_Kolyma,SF_Yukon,SF_Mackenzie,SD_Ob,SD_Yenise,SD_Lena,SD_Kolyma,SD_Yukon,SD_Mackenzie,Ob_Temperature (C),Ob_Observed discharge (mm),Ob_Precipitation (mm),Ob_Potential evapotranspiration (mm),Yenisei_Temperature (C),Yenisei_Observed discharge (mm),Yenisei_Precipitation (mm),Yenisei_Potential evapotranspiration (mm),Lena_Temperature (C),Lena_Observed discharge (mm),Lena_Precipitation (mm),Lena_Potential evapotranspiration (mm),Kolyma_Temperature (C),Kolyma_Observed discharge (mm),Kolyma_Precipitation (mm),Kolyma_Potential evapotranspiration (mm),Yukon_Temperature (C),Yukon_Observed discharge (mm),Yukon_Precipitation (mm),Yukon_Potential evapotranspiration (mm),Mackenzie_Temperature (C),Mackenzie_Observed discharge (mm),Mackenzie_Precipitation (mm),Mackenzie_Potential evapotranspiration (mm)
3/1/1967,110.6623668,27.44114583,106.6293496,152.6251534,254.6601448,126.4312997,13.00966256,2.736023458,0.105402684,0,0.050630602,0.020047743,19.16271178,27.44114583,17.47506232,32.39895102,33.2448867,22.37935486,468.816518,667.602709,609.1098045,893.4828897,1085.068932,637.4106515,-6.881703404,2.78530169,13.59494978,18.85379162,-12.33860062,4.9600512,16.04308792,15.69511979,-21.282059,1.40544,11.57411175,7.678145581,-24.80420803,,23.66312508,1.13066137,-16.07942553,,34.06357,14.39744877,-19.29717236,,24.2239817,14.0763724
4/1/1967,66.04533263,26.55498218,105.8884165,178.4049755,285.8576024,139.382691,95.45339755,68.57704222,35.35568145,0.009212381,20.9003858,19.55944279,8.449928259,26.55498218,21.74387946,21.12921924,37.19267287,17.57388209,214.3425712,535.6679967,482.3135598,847.1917148,1077.836055,581.9131007,4.816758242,3.51984814,14.80683594,68.31099223,-3.272832558,3.3969024,17.38409702,42.68593261,-7.93118615,1.26468,13.03368994,30.11017415,-16.71222719,,13.5058721,14.26052086,-5.718341152,,26.71262,30.5933026,-6.770133274,,13.56196199,35.00915324
5/1/1967,6.529709073,28.69522312,52.2326117,96.00874609,211.1848211,76.43500955,13.32719592,57.50127144,75.12022356,191.0267958,127.6531945,95.68973507,4.476777612,28.69522312,27.26833044,16.72223444,15.59079926,16.10147298,19.73635016,238.6520564,192.2055415,329.9210891,674.3912123,227.0907958,9.988021549,18.8996339,36.95529275,107.5137929,4.463519714,43.0316928,43.47143947,77.52787703,3.688561225,18.09864,45.71923446,70.01782241,2.384368835,,22.05739213,60.52144364,2.941467577,,19.79336,67.39410371,3.52154734,,20.61309702,73.52055412
6/1/1967,1.968552885,3.401915597,8.166233094,1.358353582,129.4639288,10.53718821,5.113044583,68.36264376,33.74461388,16.96996289,35.10564492,34.10300593,1.344430806,3.401915597,2.816645512,5.881933771,3.010046896,2.594483187,5.541342579,65.8138097,25.25269537,5.387928088,424.9966923,26.71940665,15.28412066,18.9025627,52.77608173,126.100543,11.97353936,61.375104,62.88191936,96.99229099,13.02347983,104.3064,42.32985589,104.6983709,9.185370741,,28.52871563,91.82765678,10.80143541,,36.59981,97.58373206,10.33951715,,40.12809109,101.6805324
7/1/1967,0.049956428,0.008169759,0.004370837,0.055679968,120.8778231,0.797795521,0.447448748,0.618615103,0.10049217,1.238628433,2.612599334,1.18613164,0.021041369,0.008169759,0.100322613,1.316944074,1.553243963,0.141544944,0.124670313,0.111746208,0.025658955,0.338626437,401.9586978,2.436795539,19.39560654,12.3595932,83.85478194,124.309995,16.95054467,23.269248,62.40613459,106.2561297,16.06809128,29.1024,47.38807571,110.308487,9.976353097,,67.010842,78.93507621,11.22472152,,71.47528,80.59506065,13.22396104,,66.97480175,98.69966722
8/1/1967,0.034792548,7.07031327,0.191240393,0.946071392,120.6031531,0.615118489,0.413617955,3.263452335,0.785422315,3.443777662,1.816960699,0.663340897,0.539132763,7.07031327,2.939959607,10.77660945,2.25600145,1.126823108,0.2283222,2.855774726,1.204603774,6.149127693,401.4670712,2.181442416,14.80533031,8.43674034,54.83718235,89.21016484,10.98381553,13.986432,64.69424374,69.39062202,11.06225189,28.7748,63.40722833,67.55798259,6.604409013,,28.73535156,52.75590879,9.966347532,,75.37387,61.91595138,12.85299566,,36.90517725,84.98178288
9/1/1967,0.622793176,16.19108249,5.900886099,7.597221822,121.8827751,1.497443892,4.761855831,13.89659008,18.77917921,17.77768133,7.920464786,6.296298896,5.48303779,16.19108249,28.28745535,18.52829822,10.26646177,8.002237437,3.810722566,16.36727936,36.22586461,40.46838727,409.6209727,7.692103586,7.746758027,7.09622237,37.84015711,54.30494908,4.869428513,15.037056,35.10402366,40.24084778,3.309392168,23.49,38.59017535,35.02649095,1.505410846,,28.29473009,29.01403026,4.241626794,,31.6449,34.57416443,7.550083357,,37.72936339,45.05990382
10/1/1967,2.225087969,35.44948453,17.15437901,34.13044613,129.824573,11.32074567,10.54710896,15.92094584,7.657335551,0.338182468,1.364187605,6.649630817,13.07591332,35.44948453,30.21115071,43.12511128,20.57269619,28.63226007,13.75242424,60.02243522,108.2977803,216.1379466,461.9127898,70.39334457,4.10049472,6.53594034,33.3983774,27.88466991,-0.550610179,13.440384,32.35854207,17.68214466,-4.862432564,19.44216,22.96415234,11.44069837,-10.56312625,,31.06787599,6.106813817,-6.253110359,,14.48164,13.3245614,-1.644093137,,38.32063204,15.89717201
11/1/1967,12.00324369,32.05596476,42.50055688,53.59861617,159.4917741,29.71150468,2.41779713,0.539260814,0.012478633,0,1.971204262,1.932857564,17.59122253,32.05596476,27.40153334,10.10081538,43.09693616,24.04108662,75.72649347,252.8017141,280.6407661,347.1705807,649.9816917,184.1979841,-7.399285822,3.17691336,16.63984482,6.49120859,-18.51747025,7.8247296,26.15186958,3.624277574,-24.67802482,4.99248,22.02980132,1.482841634,-29.46112342,,10.511343,1.124248543,-14.79250461,,37.51167,3.483253735,-11.66297788,,26.68071786,3.237104749
12/1/1967,27.28682822,24.2881292,64.72607132,68.10102695,192.6702301,51.18809848,0.265488692,1.68E-05,0,0,0.560228081,0.014875088,23.45827701,24.2881292,19.25791815,21.1382352,36.5498177,24.48908652,171.9663186,386.7327245,428.241465,451.7839805,854.1467813,327.9876698,-13.07862616,3.06705356,17.67267986,4.115164939,-22.41246187,5.3039232,18.69568381,0.858124644,-32.36646551,2.76624,17.38890352,0.218362429,-35.82585092,,21.582225,0.770340658,-21.19027238,,29.70281,3.475757727,-19.30665687,,24.25186998,2.424292845
1/1/1968,52.97693128,16.1076775,80.61427304,97.42068118,228.7124759,78.76709806,0.027765063,5.73E-06,0,0,0.360694975,2.592267671,26.11776612,16.1076775,11.67748841,37.27914013,33.3089056,33.32900613,336.159292,523.2499484,526.9400568,637.0533152,1028.636602,494.8766288,-19.71384572,3.61298441,20.94484032,2.502143013,-29.06165703,5.2952832,13.63720672,0.696852998,-37.40776923,2.66508,10.78772436,0.12504515,-31.80140359,,32.02665292,0.031062124,-25.33540639,,29.09387,4.207496315,-26.39642263,,31.30331477,1.547420965
2/1/1968,67.68587641,16.66110542,89.60695944,126.4140495,256.5111417,99.18008933,0.795208362,0.011986427,0.000821812,0,0.399839422,4.009322929,20.70860806,16.66110542,8.854793699,15.3938722,22.79837049,11.72911289,394.7335769,567.5446314,561.0000853,795.3350603,1146.217527,563.1556975,-15.89906636,3.03102915,14.70199498,5.406428863,-25.00501014,5.3277696,12.17929361,2.842260587,-29.6236595,2.10492,8.937639929,1.840216764,-30.75731737,,15.29707462,0.40100201,-21.66730525,,20.26906,4.181180647,-19.69783759,,11.32675308,5.898918837
3/1/1968,77.96312826,35.19336071,102.4264574,143.4474852,275.3335751,99.4952709,23.45593394,5.753921218,0.215359712,0,0.114286236,11.6248444,30.55910062,35.19336071,22.76461036,20.84472447,14.87154611,16.88578779,356.562543,551.5268071,547.0832811,824.1162338,1074.062972,437.4176659,-5.399780005,3.01228475,27.72736092,20.38165002,-9.485228003,6.4703232,17.82746894,18.61991033,-15.00758556,1.86048,12.39547312,12.73780969,-24.60460961,,15.11208452,4.019438688,-12.86602871,,9.965072,17.77432217,-10.8781198,,17.79842217,15.63668854
4/1/1968,54.4068993,45.24381779,108.8905809,156.0092436,284.0113167,96.96826734,54.31110926,45.22434818,37.30021638,0.115234106,4.821746926,14.43032452,24.00365548,45.24381779,37.89173848,14.12512637,21.03995385,16.79743802,213.2848253,511.5658408,456.5666762,717.3435192,1011.942183,370.5279931,0.239065988,2.97245288,32.14649081,52.81318279,-2.977263718,6.6759552,29.24950827,42.9113699,-4.042865567,1.32912,22.68171941,37.26068633,-14.49699399,,7.022986402,18.70340535,-7.242583888,,11.59486,32.67942584,-5.543427783,,15.72320567,37.84442718
