DATE,Baron_discharge_m3s,Hueco_discharge_m3s,Jacobs_discharge_m3s,PRCP_mm,T_AVER,Barton Ck360,Colorado Rv,Bear Ck,Onion Ck,Walnut Ck
6/14/78,0.962772798,,,0,28.3,0,85.516736,,,0.15291072
6/15/78,0.934455951,,,0,28.9,0,81.835552,,,0.141584
6/16/78,0.906139104,,,0,29.2,0,83.53456,,,0.13308896
6/17/78,0.906139104,,,0,28.9,0,54.085088,,,0.12176224
6/18/78,0.906139104,,,0,29.2,0,99.675136,,,0.11609888
6/19/78,0.877822257,,,0,28.3,0,92.595936,,,0.10477216
6/20/78,0.877822257,,,0,28.1,0,75.889024,,,0.0991088
6/21/78,0.84950541,,,0,27.8,0,79.853376,,,0.0991088
6/22/78,0.821188563,,,0,27.5,0,81.552384,,,0.09344544
6/23/78,0.792871716,,,0,28.9,0,81.552384,,,0.08778208
6/24/78,0.821188563,,,0,30.3,0,81.552384,,,0.07362368
6/25/78,0.792871716,,,0,30.8,0,81.552384,,,0.06512864
6/26/78,0.792871716,,,0,30.6,0,95.144448,,,0.05946528
6/27/78,0.792871716,,,0,29.7,0,83.53456,,,0.05946528
6/28/78,0.764554869,,,0,29.2,0,91.463264,,,0.05946528
6/29/78,0.764554869,,,0,29.2,0,86.36624,,,0.05946528
6/30/78,0.764554869,,,0,28.9,0,82.401888,,,0.05946528
7/1/78,0.736238022,,,0,29.4,0,82.11872,,,0.05097024
7/2/78,0.707921175,,,0,30.6,0,83.53456,,,0.05097024
7/3/78,0.707921175,,,0,30.3,0,84.100896,,,0.04813856
7/4/78,0.707921175,,,0,30,0,79.003872,,,0.04530688
7/5/78,0.679604328,,,0,31.1,0,65.978144,,,0.03964352
7/6/78,0.594653787,,,0,30.6,0,64.279136,,,0.03964352
7/7/78,0.679604328,,,0,30.3,0,60.031616,,,0.03681184
7/8/78,0.679604328,,,0,30.3,0,58.898944,,,0.03398016
7/9/78,0.651287481,,,0,30.6,0,60.597952,,,0.026334624
7/10/78,0.651287481,,,0,31.1,0,56.350432,,,0.026334624
7/11/78,0.622970634,,,0,30.3,0,57.766272,,,0.02406928
7/12/78,0.594653787,,,0,30.8,0,53.518752,,,0.025201952
7/13/78,0.56633694,,,0,31.1,0,53.80192,,,0.026334624
